"Select Color","Farbe wählen"
"Root","Root"
"Reset","Zurücksetzen"
"Set Root Node For Store","Root Knoten für Store nicht gesetzt"
"Node settings","Knoten Einstellungen"
"Menu Data","Menu Daten"
"Node","Knoten"
"Menu","Menu"
"Menu Code","Menu Code"
"Name In %s","Name In %s"
"Type","Type"
"SKU","SKU"
"Price","Preis"
"Visibility","Sichtbarkeit"
"Status","Status"
"Websites","Webseiten"
"Action","Aktion"
"Select","Wähle"
"Add Menu","Menu hinzufügen"
"Manage Menu Nodes","Verwalte Menu Knoten"
"Node move error","Fehler beim Verschieben des Knoten"
"Node deleted","Knoten gelöscht"
"Node delete error","Fehler beim Löschen des Knoten"
"-- Please select a cms page --","Bitte wählen Sie eine CMS Seite"
"Name","Name"
"Image","Bild"
"Icon And Name","Icon Und Name"
"Background And Name","Hintergrund Und Name"
"Standard","Standard"
"Normal","Normal"
"Lighter","Leichter"
"Bold","Fett"
"Bolder","Fetter"
"Nowhere (For Manual Positioning)","Nirgendwo (Für Manuelles Positionieren)"
"Page Top","Seitenanfang"
"Before Top Menu","Vor Kopfnavigation"
"After Top Menu","Nach Kopfnavigation"
"Content Top","Inhaltsanfang"
"Sidebar Right Top","Rechte Seitenleiste (Anfang)"
"Sidebar Right Bottom","Rechte Seitenleiste (Ende)"
"Sidebar Left Top","Linke Seitenleiste (Anfang)"
"Sidebar Left Bottom","Linke Seitenleiste (Ende)"
"Footer Top","Fußzeile (Anfang)"
"Footer Bottom","Fußzeile (Ende)"
"Page Bottom","Seitenende"
"Same Window","Gleiches Fenster"
"New Window","Neues Fenster"
"Popup Window","Popup Fenster"
"Horizontal","Horizontal"
"Vertical","Vertikal"
"Link List","Link Liste"
"Nowhere","Nirgendwo"
"Category","Kategorie"
"CMS Page","CMS Seite"
"Product","Produkt"
"Internal Url","Interne Url"
"External Url","Externe Url"
"Link type is not defined","Link-Typ wurde nicht definiert"
"No valid category set","Ungültige Kategorie gesetzt"
"The linked category is not active in this store view and will not be displayed","Die verknüpfte Kategorie ist in diesem Store View nicht aktiviert und wird nicht angezeigt"
"The linked category is not set active on all store views","Die verknüpfte Kategorie ist nicht in allen Store Views aktiviert"
"External link seems to be incorrect","Die externe Verlinkung scheint nicht korrekt zu sein"
"No valid product set","Ungültiges Produkt gesetzt"
"The linked product is not active in this store view and will not be displayed","Das verknüpfte Produkt ist in diesem Store View nicht aktiviert und wird nicht angezeigt"
"The linked product is not set active on all store views","Das verknüpfte Produkt ist nicht in allen Store Views aktiviert"
"ID: %s","ID: %s"
"Collapse All","Alle einklappen"
"Expand All","Alle ausklappen"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Bitte bestätigen Sie den Seitenwechsel. Nicht gespeicherte Daten gehen verloren."
"Are you sure you want to delete this menu node with all its children?","Sind Sie sicher, dass Sie diesen Menu Knoten mit allen Unterknoten löschen möchten?"
"Manage Menus","Verwalte Menus"
"Menu Navigation:","Menu Navigation:"
"General Information","Allgemeine Informationen"
"Custom Design","Individuelle Gestaltung"
"New Node","Neuer Knoten"
"New Menu","Neues Menu"
"Save Menu","Menu Speichern"
"Save Node","Knoten Speichern"
"Delete Menu","Menu Löschen"
"Delete Node","Knoten Löschen"
"Description","Beschreibung"
"Is Active","Aktiviert"
"Display From","Anzeigen Vom"
"Display To","Anzeigen Bis"
"Display Mode","Anzeigeart" 
"Sort Order","Position"
"Display Menu Name","Menu Name Anzeigen"
"Template","Vorlage"
"Image","Bild"
"Background Image","Hintergrundbild"
"Custom Template","Individuelle Vorlage"
"Custom CSS Class","Individuelle CSS Klasse"
"Background Color","Hintergrundfarbe"
"Link To","Verknüpfe mit"
"Select CMS Page","Wähle CMS Seite"
"Select Product","Wähle Produkt"
"Link Target","Verknüpfungsziel"
"Font Weight","Schriftgewicht"
"Font Color","Schriftfarbe"
"Hex value, i.e. 006699","Hex-Wert, z.B. 006699"
"Hex value, leave blank for none","Hex-Wert, leer lassen für keinen"
"Path to template (custom/template.phtml)","Pfad zur Vorlage ('individuelle/vorlage.phtml')"
"Choose Store View:","Wähle Store Ansicht:"
"Please select a category","Bitte wählen Sie eine Kategorie"
"Default Navigation Settings","Einstellungen Standard-Navigation"
"Hide Default Navigation","Standard Navigation verstecken"
"Hide Footer Links","Fußzeilen-Links verstecken"
"For complete removal disable static block ""footer_links""","Zur vollständigen Ausblendung muss der statische Block ""footer_links"" deaktivert werden"
"CMS Pages, Static Blocks", "CMS Seiten, Statische Blöcke"
"Custom Layout Update", "Benutzerdefiniertes Layout"
"Example (local.xml)","Beispiel (local.xml)"
