"Please select some action.","Please select some action."
"Please select a rule to duplicate.","Please select a rule to duplicate."
"The rule has been duplicated. Set a new coupon and activate it if needed.","The rule has been duplicated. Set a new coupon and activate it if needed."
"Please select rule(s).","Please select rule(s)."
"Can not find rule with id=%s.","Can not find rule with id=%s."
"Can not move rule with id=%s.","Can not move rule with id=%s."
"Total of %d rule(s) have been moved.","Total of %d rule(s) have been moved."
"Discount","Discount"
"Stop","Stop"
"Duplicate","Duplicate"
"Price Percent","Price Percent"
"Product Amount","Product Amount"
"Cart Amount","Cart Amount"
"Buy N products, and get next same products free.","Buy N products, and get next same products free."
"Auto add promo items with products","Auto add promo items with products"
"Auto add promo items for the whole cart","Auto add promo items for the whole cart"
"Auto add the same product","Auto add the same product"
"Auto add promo items for every $X spent","Auto add promo items for every $X spent"
"The Cheapest","The Cheapest"
"The Most Expencive","The Most Expencive"
"Fixed Item Price","Fixed Item Price"
"Each N-th Free","Each N-th Free"
