"%s can\'t be applied.", "%s não pode ser aplicado."
"%s was applied.", "%s foi aplicado."
"%s was canceled.", "%s foi cancelado."
"Actions", "Ações"
"Active From", "Ativo desde"
"Active To", "Ativo até"
"Add New Earning Rule", "Adicionar nova regra de ganho"
"Add New Notification Rule", "Adicionar nova regra de notificação"
"Add New Spending Rule", "Adicionar nova regra de uso"
"Add New Transaction", "Adicionar nova transição"
"Affiliate Customer", "Cliente Afiliado"
"All", "Todos"
"Allow Everything", "Permitir tudo"
"Applies only to registered customers, may vary when logged in.", "Aplicar apenas a clientes registrados, pode variar quando acessar sua conta"
"Apply Points", "Aplicar Pontos"
"Approve earned points on invoice", "Aprovar pontos ganhos no faturamento"
"Approve earned points on shipment", "Aprovar pontos ganhos no envio do produto"
"Are you sure?", "Você tem certeza?"
"Arranged in the ascending order. 0 is the highest.", "Classificado na ordem ascendente. 0 é o maior."
"Balance Change", "Mudança de Saldo"
"Balance update Email", "Email de atualização de saldo"
"Behavior Rule", "Regra de Comportamento"
"Cancel Points", "Cancelar pontos"
"Cancel earned %s for the order #%s.", "Cancelar %s pontos ganhos por este pedido #%s."
"Cancel earned points after order refunding", "Cancelar pontos ganhos depois do reembolso"
"Cannot apply %s.", "Não pode aplicar %s."
"Cart Rule", "Rega de carrinho"
"Change status", "Mudar status"
"Checkout now and earn <b>%s</b> for this order.", "Compre agora e ganhe <b>%s</b> neste pedido."
"Cart Page", "Carrinho de compras"
"Checkout Page", "Página de checkout"
"Comment", "Comentário"
"Conditions", "Condições"
"Conditions & Actions", "Condições e Ações"
"Conditions Combination", "Combinação de Condições"
"Create New Earning Rule", "Criar nova regra de ganho"
"Create New Notification Rule", "Criar nova regra de notificação"
"Create New Referral", "Criar nova indicação"
"Create New Spending Rule", "Criar nova regra de uso de pontos"
"Create New Transaction", "Criar nova transação"
"Created", "Criado"
"Created At", "Criado em"
"Currency to Points", "Moeda para pontos"
"Customer Account > My Referrals", "Conta Cliente > Minhas Indicações"
"Customer Account > My Reward Points", "Conta Cliente > Meus Pontos de Recompensas"
"Customer Earning Style", "Forma de ganho do Cliente"
"Customer Email", "Email do Cliente"
"Customer Groups", "Grupos de Clientes"
"Customer Name", "Nome do Cliente"
"Customer Referrals", "Indicações do Cliente"
"Customer adds tag to a product", "Cliente adiciona tag ao produto"
"Customer emails product\'s link to a friend", "Cliente envia link de produto a amigo"
