"Allow Everything", "Permitir tudo"
"Check this out!", "Confira isto!"
"Earn Reward Points for sharing!", "Ganhe pontos por compartilhar!"
"Facebook App ID", "Facebook App ID"
"Facebook Like Points has been canceled", "Os pontos por curtidas no Facebook foram cancelados"
"Facebook Settings", "Configurações do Facebook"
"G+1 Points has been canceled", "Os pontos do G+1 foram cancelados"
"Google Plus Settings", "Configurações do Google Plus"
"Like this page and earn %s", "Curta nossa página e ganhe %s"
"Login to earn %s for sharing!", "Acesse sua conta para ganhar %s por compartilhar!"
"Maximum number of like rewards per day", "Número máximo de curtidas recompensadas por dia"
"Maximum number of rewards per day", "Número máximo de recompensas por dia"
"Maximum number of twitter rewards per day", "Número máximo de tweets recompensados por dia"
"Pin this page and earn %s", "Pin esta página e ganhe %s"
"Plus this page and earn %s", "Plus esta página e ganhe %s"
"Refer Friends", "Indique Amigos"
"Refer friend and earn %s. More friends more points!", "Indique amigos e ganhe %s. Mais amigos, mais pontos!"
"RewardsSocial - Balance update Email", "Recompensas Social - Email de saldo"
"RewardsSocial - Invitation Email Template", "Recompensas Social - Modelo do email de convite"
"RewardsSocial - Points expire Email", "Recompensas Social - Email de pontos a expirar"
"Show Facebook Like button", "Mostrar botão de curtir do Facebook"
"Show Google Plus +1 button", "Mostrar botão do Google Plus +1"
"Show Pinterest pin button", "Mostrar botão do Pinterest"
"Show Twitter Follow button", "Mostrar botão de seguir do Twitter"
"Social Networks Settings", "Configurações das Redes Sociais"
"Tweet", "Tweet"
"Tweet this page and earn %s", "Tweet esta página e ganhe %s"
"Register or Login to share link and invite friends","Acesse sua conta para compartilhar o link e convidar seus amigos"
"Your product referral link","O link de indicação do seu produto"
"Contacts of your friends to invite them","E-mail dos seus amigos para convidar eles"
"Enter comma-separated email list","Coloque os emails separando por vírgula"
"Customer with email %s has been already invited to our store","Cliente com o email %s já foi indicado em nossa loja"
"Like","Curtir"
"Share","Compartilhar"
"Like this page and earn %s","Curta essa página e ganhe %s"
