"1-1000001","21-1000001"
"1-1000002","21-1000002"
"1-1000003","21-1000003"
"1-1000004","21-1000004"
"1-1000005","21-1000005"
"1-1000006","21-1000006"
"1-1000007","21-1000007"
"1-1000008","21-1000008"
"1-1000009","21-1000009"
"1-1000010","21-1000010"
"1-1000011","21-1000011"
"1-1000012","21-1000012"
"1-1000013","21-1000013"
"1-1000014","21-1000014"
"1-1000015","21-1000015"
"1-1000016","21-1000016"
"1-1000017","21-1000017"
"1-1000018","21-1000018"
"1-1000019","21-1000019"
"1-1000020","21-1000020"
"1-1000021","21-1000021"
"1-1000022","21-1000022"
"1-1000023","21-1000023"
"1-1000024","21-1000024"
"1-1000025","21-1000025"
"1-1000026","21-1000026"
"1-1000027","21-1000027"
"1-1000028","21-1000028"
"1-1000029","21-1000029"
"1-1000030","21-1000030"
"1-1000031","21-1000031"
"1-1000032","21-1000032"
"1-1000033","21-1000033"
"1-1000034","21-1000034"
"1-1000035","21-1000035"
"1-1000036","21-1000036"
"1-1000037","21-1000037"
"1-1000038","21-1000038"
"1-1000039","21-1000039"
"1-1000040","21-1000040"
"1-1000041","21-1000041"
"1-1000042","21-1000042"
"1-1000043","21-1000043"
"1-1000044","21-1000044"
"1-1000045","21-1000045"
"1-1000046","21-1000046"
"1-1000047","21-1000047"
"1-1000048","21-1000048"
"1-1000049","21-1000049"
"1-1000050","21-1000050"
"1-1000051","21-1000051"
"1-1000052","21-1000052"
"1-1000053","21-1000053"
"1-1000054","21-1000054"
"1-1000055","21-1000055"
"1-1000056","21-1000056"
"1-1000057","21-1000057"
"1-1000058","21-1000058"
"1-1000059","21-1000059"
"1-1000060","21-1000060"
"1-1000061","21-1000061"
"1-1000062","21-1000062"
"1-1000063","21-1000063"
"1-1000064","21-1000064"
"1-1000065","21-1000065"
"1-1000066","21-1000066"
"1-1000067","21-1000067"
"1-1000068","21-1000068"
"1-1000069","21-1000069"
"1-1000070","21-1000070"
"1-1000071","21-1000071"
"1-1000072","21-1000072"
"1-1000073","21-1000073"
"1-1000074","21-1000074"
"1-1000075","21-1000075"
"1-1000076","21-1000076"
"1-1000077","21-1000077"
"1-1000078","21-1000078"
"1-1000079","21-1000079"
"1-1000080","21-1000080"
"1-1000081","21-1000081"
"1-1000082","21-1000082"
"1-1000083","21-1000083"
"1-1000084","21-1000084"
"1-1000085","21-1000085"
"1-1000086","21-1000086"
"1-1000087","21-1000087"
"1-1000088","21-1000088"
"1-1000089","21-1000089"
"1-1000090","21-1000090"
"1-1000091","21-1000091"
"1-1000092","21-1000092"
"1-1000093","21-1000093"
"1-1000094","21-1000094"
"1-1000095","21-1000095"
"1-1000096","21-1000096"
"1-1000097","21-1000097"
"1-1000098","21-1000098"
"1-1000099","21-1000099"
"1-1000100","21-1000100"
"1-1000101","21-1000101"
"1-1000102","21-1000102"
"1-1000103","21-1000103"
"1-1000104","21-1000104"
"1-1000105","21-1000105"
"1-1000106","21-1000106"
"1-1000107","21-1000107"
"1-1000108","21-1000108"
"1-1000109","21-1000109"
"1-1000110","21-1000110"
"1-1000111","21-1000111"
"1-1000112","21-1000112"
"1-1000113","21-1000113"
"1-1000114","21-1000114"
"1-1000115","21-1000115"
"1-1000116","21-1000116"
"1-1000117","21-1000117"
"1-1000118","21-1000118"
"1-1000119","21-1000119"
"1-1000120","21-1000120"
"1-1000121","21-1000121"
"1-1000122","21-1000122"
"1-1000123","21-1000123"
"1-1000124","21-1000124"
"1-1000125","21-1000125"
"1-1000126","21-1000126"
"1-1000127","21-1000127"
"1-1000128","21-1000128"
"1-1000129","21-1000129"
"1-1000130","21-1000130"
